District,FirstName,LastName,address,address2,city,state,zip,phone,fax,EmailAddress,Website,PartyEndorsement,Photo,Twitter,Facebook,/n
14,Fernando ,Cabrera,107 East Burnside Ave.,,Bronx,NY,10453,347-590-2874,347-590-2878,fcabrera@council.nyc.gov,http://council.nyc.gov/d14/html/members/home.shtml,D,http://www.mygovnyc.org/img/photos/council/d14cabrera.jpg,FCabreraNY,councilmembercabrera,/n
15,Ritchie,Torres,573 East Fordham Rd.,,Bronx,NY,10458,718-842-8100,,rjordan@council.nyc.gov,http://council.nyc.gov/d15/html/members/home.shtml,D,http://www.mygovnyc.org/img/photos/council/District15_Torres2.JPG,RitchieTorres,ritchie.torres.9,/n
16,Vanessa L.,Gibson,1377 Jerome Ave.,,Bronx,NY,10452,718-588-7500,718-588-7790,vgibson@council.nyc.gov,http://council.nyc.gov/d16/html/members/home.shtml,D,http://www.mygovnyc.org/img/photos/council/district16_gibson.JPG,Vanessalgibson,,/n
17,Rafael,Salamanca,,,Bronx,NY,,,,rsalamance@council.nyc.gov,http://council.nyc.gov/d17/html/members/home.shtml,,,,,/n
18,Annabel ,Palma,1041 Castle Hill Ave.,,Bronx,NY,10472,718-792-1140,718-931-0235,palma@council.nyc.ny.us,http://council.nyc.gov/d18/html/members/home.shtml,D,http://www.mygovnyc.org/img/photos/council/d18palma.jpg,PalmaAnnabel,annabel.palma,/n
19,Paul,Vallone,42-40 Bell Blvd.,Ste. 507,Queens ,NY,11361,718-619-8611,718-631-4100,district19@council.nyc.gov,http://council.nyc.gov/d19/html/members/home.shtml,D,http://www.mygovnyc.org/img/photos/council/District19_Vallone.JPG,PaulVallone,paul.vallone1,/n
20,Peter ,Koo,135-27 38th Ave. ,Ste. 388,Flushing,NY,11354,718-888-8747,718-888-0331,pkoo@council.nyc.org,http://council.nyc.gov/d20/html/members/home.shtml,D,http://www.mygovnyc.org/img/photos/council/d20koo.jpg,PeterKoo2009,2.08E+11,/n
21,Julissa ,Ferreras,32-33A Junction Blvd.,,Queens ,NY,11369,718-651-1917,718-565-5937,jferreras@council.nyc.gov,http://council.nyc.gov/d21/html/members/home.shtml,D,http://www.mygovnyc.org/img/photos/council/d21ferreras.jpg,JulissaFerreras,Julissa.Ferreras,/n
22,Costa,Constantinides,31-09 Newtown Avenue ,Ste. 209,Astoria,NY,11102,718-274-4500,718-726-0357,cconstantinides@council.nyc.gov,http://council.nyc.gov/d22/html/members/home.shtml,D,http://www.mygovnyc.org/img/photos/council/District22_Constantinides.JPG,Costa4NY,costaforastoria,/n
23,Barry,Grodenchik,73-03 Bell Blvd.,,Oakland Gardens,NY,11364,718-468-0137,718-468-0178,bgrodenchick@council.nyc.gov,http://council.nyc.gov/d23/html/members/home.shtml,D,http://www.mygovnyc.org/img/photos/council/BarryGrodenchik_400x400.jpg,BarryGrodenchik,barry.grodenchik,/n
24,Rory,Lancman,78-40 164th Street,,Queens,NY,11366,718-217-4969,718-217-4968,rlancman@council.nyc.gov,http://council.nyc.gov/d24/html/members/home.shtml,D,http://www.mygovnyc.org/img/photos/council/District24_Lancman.JPG,RoryLancman,rory.lancman,/n
25,Daniel ,Dromm,37-32 75th St.,1st Floor,Jackson Heights,NY,11372,718-803-6373,718-803-9832,ddromm@council.nyc.gov,http://council.nyc.gov/d25/html/members/home.shtml,D,http://www.mygovnyc.org/img/photos/council/d25dromm.jpg,Dromm25,18241697139,/n
26,Jimmy G.,Van Bramer,47-01 Queens Blvd.,Ste. 205,Sunnyside,NY,11104,718-383-9566,718-383-9076,jvanbramer@council.nyc.org,http://council.nyc.gov/d26/html/members/home.shtml,D,http://www.mygovnyc.org/img/photos/council/d26vanbramer.jpg,JimmyVanBramer,1.26E+11,/n
27,I. Daneek ,Miller,172-12 Linden Blvd. ,,St. Albans,NY,11434,718-776-3700,718-776-3798,idmiller@council.nyc.gov,http://council.nyc.gov/d27/html/members/home.shtml,D,http://www.mygovnyc.org/img/photos/council/District27_Miller.JPG,IDaneekMiller,daneek.miller,/n
28,Ruben,Wills,95-26 Sutphin Blvd.,,Jamaica,NY,11435,718-206-2068ξ,718-206-2748ξ,wruben@council.nyc.gov,http://council.nyc.gov/d28/html/members/home.shtml,D,http://www.mygovnyc.org/img/photos/council/WebSiteCM Wills 1.2.JPG,CM_RubenWills,CouncilMemberRubenWills,/n
29,Karen ,Koslowitz,118-35 Queens Blvd.,17th Fl.,Queens ,NY,11375,718-544-8800,718-544-4452,koslowitz@council.nyc.gov,http://council.nyc.gov/d29/html/members/home.shtml,D,http://www.mygovnyc.org/img/photos/council/d29koslowitz.jpg,CMKoslowitz,1.19E+11,/n
30,Elizabeth,Crowley,71-19 80th Street,Suite 8-303,Glendale,NY,11385,718-366-3900 ,718-326-3549,ecrowley@council.nyc.gov,http://council.nyc.gov/d30/html/members/home.shtml,D,http://www.mygovnyc.org/img/photos/council/crowley_headshot_new.jpg,ElizCrowleyNYC,elizcrowleynyc,/n
31,Donovan ,"Richards, Jr.",234-26 A Merrick Blvd. ,,Laurelton,NY,11422,718-527-4356 ,718-527-4402 ,drichards@council.nyc.gov,http://council.nyc.gov/d31/html/members/home.shtml,D,http://www.mygovnyc.org/img/photos/council/cmrichardsheadshot.JPG,DRichards13,DonovanRichards2013,/n
32,Eric ,Ulrich,93-06 101st Ave.,,Ozone Park,NY,11416,718-738-1083,718-738-1918ξ,eulrich@council.nyc.gov,http://council.nyc.gov/d32/html/members/home.shtml,R,http://www.mygovnyc.org/img/photos/council/ulrichheadshot.JPG,eric_ulrich,ericulrich32,/n
33,Stephen ,Levin,410 Atlantic Ave.,,Brooklyn,NY,11217,718-875-5200,718-643-6620,slevin@council.nyc.gov,http://council.nyc.gov/d33/html/members/home.shtml,D,http://www.mygovnyc.org/img/photos/council/d33levin.jpg,StephenLevin33,55177376157,/n
34,Antonio,Reynoso,244 Union Ave.,Ground Fl.,Brooklyn,NY,11206,718-963-3141,,jburgos@council.nyc.gov,http://council.nyc.gov/d34/html/members/home.shtml,D,http://www.mygovnyc.org/img/photos/council/District34_Reynoso.JPG,Antonio4Council,Antonio4Council,/n
35,Laurie,Cumbo,1 Hanson Pl.,Suite 201,Brooklyn,NY,11243,212-788-7081,212-788-7712,m35@council.nyc.gov,http://council.nyc.gov/d35/html/members/home.shtml,"D, WF",http://www.mygovnyc.org/img/photos/council/District35_Cumbo1.JPG,lauriecumbo,CMLaurieCumbo,/n
36,Robert ,Cornegy,1360 Fulton Street,Ste. 500,Brooklyn,NY,11216,212-788-7354,212-788-8951,RCornegy@council.nyc.gov,http://council.nyc.gov/d36/html/members/home.shtml,D,http://www.mygovnyc.org/img/photos/council/District36_Cornegy.JPG,RobertCornegyJr,robertcornegyjr,/n
37,Rafael,Espinal,786 Knickerbocker Ave.,,Brooklyn,NY,11207,718-642-8664,718-889-6017,respinal@council.nyc.gov,http://council.nyc.gov/d37/html/members/home.shtml,D,,RLEspinal,RafaelLEspinaljr,/n
38,Carlos,Menchaca,4417 4th Avenue,,Brooklyn,NY,11220,718-439-9012,347-599-0604,cmenchaca@council.nyc.gov,http://council.nyc.gov/d38/html/members/home.shtml,D,http://www.mygovnyc.org/img/photos/council/District38_Menchaca.JPG,cmenchaca,Menchaca.Carlos.Jr,/n
39,Brad ,Lander,456 5th Ave.,3rd Fl.,Brooklyn,NY,11215,718-499-1090,718-499-1997,lander@council.nyc.gov,http://council.nyc.gov/d39/html/members/home.shtml,D,http://www.mygovnyc.org/img/photos/council/d39lander.jpg,bradlander,BradLander,/n
40,Mathieu,Eugene,123 Linden Blvd.,,Brooklyn,NY,11226,718-287-8762,718-287-8917,meugene@council.nyc.gov,http://council.nyc.gov/d40/html/members/home.shtml,D,http://www.mygovnyc.org/img/photos/council/d40eugene.jpg,MathieuEugene,1.10E+14,/n
41,Darlene ,Mealy,1757 Union St. ,2nd Fl.,Brooklyn ,NY,11213,718-953-3097,718-953-3276,dmealy@council.nyc.gov,http://council.nyc.gov/d41/html/members/home.shtml,D,http://www.mygovnyc.org/img/photos/council/d41mealy.jpg,CMDarleneMealy,1.08E+14,/n
42,Inez,Barron,718 Pennsylvania Ave.,,Brooklyn,NY,11207,718-649-9495,718-649-3111,ibarron@council.nyc.gov,http://council.nyc.gov/d42/html/members/home.shtml,"D, WF",http://www.mygovnyc.org/img/photos/council/District42_Barron.JPG,,,/n
43,Vincent J. ,Gentile,8703 3rd Ave.,,Brooklyn,NY,11209,718-748-5200,718-748-5222,vgentile@council.nyc.gov,http://council.nyc.gov/d43/html/members/home.shtml,D,http://www.mygovnyc.org/img/photos/council/d43gentile.jpg,,CouncilmanGentile,/n
44,David G.,Greenfield,4424 16th Ave.,,Brooklyn,NY,11204,718-853-2704ξ,718-853-3858ξ,dgreenfield@council.nyc.gov ,http://council.nyc.gov/d44/html/members/home.shtml,D,http://www.mygovnyc.org/img/photos/council/d44greenfield.jpg,NYCGreenfield,david.g.greenfield,/n
45,Jumaane D. ,Williams,4517 Ave. D,,Brooklyn,NY,11203,718-629-2900,718-451-2136,jwilliams@council.nyc.gov,http://council.nyc.gov/d45/html/members/home.shtml,D,http://www.mygovnyc.org/img/photos/council/d45williams.jpg,JumaaneWilliams,70235440648,/n
46,Alan,Maisel,1402 East 64th St.,,Brooklyn,NY,11234,718-241-9330,718-241-9316,amaisel@council.nyc.gov,http://council.nyc.gov/d46/html/members/home.shtml,D,http://www.mygovnyc.org/img/photos/council/District46_Maisel.JPG,,,/n
47,Mark,Treyger,445 Neptune Ave.,Community Rm. 2C,Brooklyn,NY,11224,718-373-9673,718-373-0195,mpartnow@council.nyc.gov,http://council.nyc.gov/d47/html/members/home.shtml,D,http://www.mygovnyc.org/img/photos/council/District47_Treyger.JPG,MarkTreyger718,mark.treyger,/n
48,Chaim,Deutsch,2401 Avenue U ,,Brooklyn,NY,11229,718-368-9176,718-368-9160,cdeutsch@council.nyc.gov,http://council.nyc.gov/d48/html/members/home.shtml,D,http://www.mygovnyc.org/img/photos/council/District48_Deutsch.JPG,ChaimDeutsch,5.54E+14,/n
49,Deborah L.,Rose,250 Broadway,Rm. 1868,New York,NY,10007,212-788-6972,212-341-3045,drose@council.nyc.gov,http://council.nyc.gov/d49/html/members/home.shtml,D,http://www.mygovnyc.org/img/photos/council/d49rose.jpg,,,/n
50,Steven,Matteo,900 South Ave.,Ste. 403,Staten Island,NY,10314,718-980-1017,718-980-1051,SMatteo@council.nyc.gov,http://council.nyc.gov/d50/html/members/home.shtml,R,http://www.mygovnyc.org/img/photos/council/District50_Matteo.JPG,StevenMatteo,StevenMatteoSI,/n
51,Joe,Borelli,3944 Richmond Ave.,,Staten Island,NY,10312,718-984-5151,718-984-5737,borelli@council.nyc.gov,http://council.nyc.gov/d51/html/members/home.shtml,R,http://www.mygovnyc.org/img/photos/council/jb.jpg,BorelliJoe,joe.borelli
